location,date,total_cases,new_cases,total_deaths,new_deaths,imported_cases,total_tests,new_tests
EC,2020-09-14,87456,41,3051,4,0,448655,1158
EC,2020-09-15,87513,57,3055,4,0,449980,1325
EC,2020-09-16,87663,150,3055,0,0,452374,2394
EC,2020-09-17,87776,113,3058,3,0,454927,2553
EC,2020-09-18,87894,118,3063,5,0,457218,2291
EC,2020-09-19,88034,140,3067,4,0,459624,2406
EC,2020-09-20,88164,130,3070,3,0,461552,1928
EC,2020-09-21,88205,41,3079,9,0,462258,706
EC,2020-09-22,88319,114,3084,5,0,464130,1872
EC,2020-09-23,88420,101,3086,2,0,466373,2243
EC,2020-09-24,88569,149,3093,7,0,468475,2102
EC,2020-09-25,88680,111,3098,5,0,470179,1704
EC,2020-09-26,88776,96,3103,5,0,471476,1297
EC,2020-09-27,88892,116,3110,7,0,473192,1716
EC,2020-09-28,88975,83,3113,3,0,474221,1029
EC,2020-09-29,89076,101,3121,8,0,475593,1372
EC,2020-09-30,89204,128,3124,3,0,478268,2675
EC,2020-10-01,89359,155,3124,0,0,480681,2413
EC,2020-10-02,89552,193,3127,3,0,483040,2359
EC,2020-10-03,89693,141,3128,1,0,485530,2490
EC,2020-10-04,89853,160,3128,0,0,487599,2069
EC,2020-10-05,89964,111,3140,12,0,488823,1224
EC,2020-10-06,89991,27,3144,4,0,490489,1666
EC,2020-10-07,90165,174,3145,1,0,493182,2693
EC,2020-10-08,90339,174,3163,18,0,495600,2418
FS,2020-03-05,0,0,0,0,0,8,8
FS,2020-03-06,0,0,0,0,0,10,2
FS,2020-03-07,0,0,0,0,0,12,2
FS,2020-03-08,0,0,0,0,0,12,0
FS,2020-03-09,0,0,0,0,0,12,0
FS,2020-03-10,0,0,0,0,0,12,0
FS,2020-03-11,0,0,0,0,0,32,20
FS,2020-03-12,0,0,0,0,0,42,10
FS,2020-03-13,0,0,0,0,0,46,4
FS,2020-03-14,0,0,0,0,0,51,5
FS,2020-03-15,0,0,0,0,0,74,23
FS,2020-03-16,0,0,0,0,0,120,46
FS,2020-03-17,0,0,0,0,0,145,25
FS,2020-03-18,0,0,0,0,0,153,8
FS,2020-03-19,0,0,0,0,0,240,87
FS,2020-03-20,7,7,0,0,0,319,79
FS,2020-03-21,7,0,0,0,0,367,48
FS,2020-03-22,9,2,0,0,0,460,93
FS,2020-03-23,13,4,0,0,0,632,172
FS,2020-03-24,18,5,0,0,0,765,133
FS,2020-03-25,30,12,0,0,0,765,0
FS,2020-03-26,49,19,0,0,0,1008,243
FS,2020-03-27,49,0,0,0,0,1404,396
FS,2020-03-28,68,19,0,0,0,1572,168
FS,2020-03-29,72,4,0,0,0,1750,178
FS,2020-03-30,72,0,1,1,0,1888,138
FS,2020-03-31,74,2,1,0,0,2019,131
FS,2020-04-01,76,2,1,0,0,2177,158
FS,2020-04-02,84,8,1,0,0,2357,180
FS,2020-04-03,84,0,1,0,0,2475,118
FS,2020-04-04,85,1,1,0,0,2651,176
FS,2020-04-05,87,2,1,0,0,2795,144
FS,2020-04-06,89,2,1,0,0,2855,60
FS,2020-04-07,89,0,1,0,0,2855,0
FS,2020-04-08,89,0,3,2,0,3134,279
FS,2020-04-09,93,4,3,0,0,3384,250
FS,2020-04-10,94,1,3,0,0,3588,204
FS,2020-04-11,94,0,3,0,0,3687,99
FS,2020-04-12,96,2,3,0,0,3934,247
FS,2020-04-13,96,0,3,0,0,4110,176
FS,2020-04-14,98,2,3,0,0,4275,165
FS,2020-04-15,98,0,3,0,0,4447,172
FS,2020-04-16,98,0,4,1,0,4670,223
FS,2020-04-17,100,2,4,0,0,4953,283
FS,2020-04-18,100,0,4,0,0,5315,362
FS,2020-04-19,100,0,4,0,0,5635,320
FS,2020-04-20,105,5,5,1,0,5969,334
FS,2020-04-21,106,1,5,0,0,6236,267
FS,2020-04-22,106,0,5,0,0,6572,336
FS,2020-04-23,106,0,5,0,0,7053,481
FS,2020-04-24,111,5,5,0,0,7486,433
FS,2020-04-25,111,0,5,0,0,7909,423
FS,2020-04-26,111,0,5,0,0,8284,375
FS,2020-04-27,111,0,5,0,0,8767,483
FS,2020-04-28,113,2,5,0,0,9112,345
FS,2020-04-29,113,0,5,0,0,9683,571
FS,2020-04-30,116,3,5,0,0,10194,511
FS,2020-05-01,118,2,5,0,0,10685,491
FS,2020-05-02,121,3,6,1,0,11332,647
FS,2020-05-03,122,1,6,0,0,12072,740
FS,2020-05-04,125,3,6,0,0,12651,579
FS,2020-05-05,128,3,6,0,0,13168,517
FS,2020-05-06,130,2,6,0,0,13724,556
FS,2020-05-07,134,4,6,0,0,14352,628
FS,2020-05-08,134,0,6,0,0,15118,766
FS,2020-05-09,134,0,6,0,0,15920,802
FS,2020-05-10,135,1,6,0,0,16768,848
FS,2020-05-11,135,0,6,0,0,17492,724
FS,2020-05-12,135,0,6,0,0,18162,670
FS,2020-05-13,138,3,6,0,0,18980,818
FS,2020-05-14,145,7,6,0,0,19799,819
FS,2020-05-15,151,6,6,0,0,20710,911
FS,2020-05-16,153,2,6,0,0,21594,884
FS,2020-05-17,158,5,6,0,0,22641,1047
FS,2020-05-18,163,5,6,0,0,23339,698
FS,2020-05-19,168,5,6,0,0,24004,665
FS,2020-05-20,180,12,6,0,0,24852,848
FS,2020-05-21,184,4,6,0,0,25814,962
FS,2020-05-22,185,1,6,0,0,26679,865
FS,2020-05-23,196,11,6,0,0,27727,1048
FS,2020-05-24,202,6,6,0,0,28684,957
FS,2020-05-25,208,6,6,0,0,29319,635
FS,2020-05-26,208,0,6,0,0,29772,453
FS,2020-05-27,221,13,6,0,0,31197,1425
FS,2020-05-28,225,4,8,2,0,32215,1018
FS,2020-05-29,231,6,8,0,0,33416,1201
